"","word"
"1","shebang"
"2","slashdot"
"3","1gl"
"4","first"
"5","generation"
"6","programming"
"7","language"
"8","1nf"
"9","normal"
"10","form"
"11","10b2"
"12","10base"
"13","2"
"14","10b5"
"15","5"
"16","10b"
"17","f"
"18","fb"
"19","fl"
"20","fp"
"21","t"
"22","100b"
"23","fx"
"24","100base"
"25","tx"
"26","100bvg"
"27","vg"
"28","286"
"29","intel"
"30","80286"
"31","processor"
"32","2b1q"
"33","binary"
"34","1"
"35","quaternary"
"36","2fa"
"37","two"
"38","factor"
"39","authentication"
"40","2gl"
"41","second"
"42","2nf"
"43","3gl"
"44","third"
"45","3gpp"
"46","3rd"
"47","partnership"
"48","project"
"49","3g"
"50","comms"
"51","3gpp2"
"52","3nf"
"53","386"
"54","80386"
"55","486"
"56","80486"
"57","4b5blf"
"58","4"
"59","byte"
"60","local"
"61","fiber"
"62","4gl"
"63","fourth"
"64","4nf"
"65","5gl"
"66","fifth"
"67","5nf"
"68","6nf"
"69","sixth"
"70","8b10blf"
"71","8"
"72","10"
"73","802.11"
"74","wireless"
"75","lan"
"76","aaa"
"77","authorization"
"78","accounting"
"79","aabb"
"80","axis"
"81","aligned"
"82","bounding"
"83","box"
"84","aac"
"85","advanced"
"86","audio"
"87","coding"
"88","aal"
"89","atm"
"90","adaptation"
"91","layer"
"92","aalc"
"93","connection"
"94","aarp"
"95","appletalk"
"96","address"
"97","resolution"
"98","protocol"
"99","abac"
"100","attribute"
"101","based"
"102","access"
"103","control"
"104","abcl"
"105","actor"
"106","concurrent"
"107","abi"
"108","application"
"109","interface"
"110","abm"
"111","asynchronous"
"112","balanced"
"113","mode"
"114","abr"
"115","area"
"116","border"
"117","router"
"118","auto"
"119","baud"
"120","rate"
"121","detection"
"122","available"
"123","bitrate"
"124","average"
"125","ac"
"126","acoustic"
"127","coupler"
"128","alternating"
"129","current"
"130","acd"
"131","automatic"
"132","call"
"133","distributor"
"134","ace"
"135","computing"
"136","environment"
"137","acid"
"138","atomicity"
"139","consistency"
"140","isolation"
"141","durability"
"142","ack"
"143","acknowledgement"
"144","amsterdam"
"145","compiler"
"146","kit"
"147","acl"
"148","list"
"149","active"
"150","loop"
"151","acm"
"152","association"
"153","for"
"154","machinery"
"155","acme"
"156","automated"
"157","classification"
"158","of"
"159","medical"
"160","entities"
"161","acp"
"162","airline"
"163","program"
"164","acpi"
"165","configuration"
"166","and"
"167","power"
"168","acr"
"169","allowed"
"170","cell"
"171","attenuation"
"172","to"
"173","crosstalk"
"174","ratio"
"175","ad"
"176","directory"
"177","administrative"
"178","domain"
"179","adc"
"180","analog"
"181","digital"
"182","converter"
"183","apple"
"184","display"
"185","connector"
"186","adb"
"187","desktop"
"188","bus"
"189","adccp"
"190","data"
"191","communications"
"192","procedures"
"193","ado"
"194","activex"
"195","objects"
"196","adsl"
"197","asymmetric"
"198","subscriber"
"199","line"
"200","adt"
"201","abstract"
"202","type"
"203","ae"
"204","adaptive"
"205","equalizer"
"206","aes"
"207","encryption"
"208","standard"
"209","af"
"210","anisotropic"
"211","filtering"
"212","afp"
"213","filing"
"214","agp"
"215","accelerated"
"216","graphics"
"217","port"
"218","ah"
"219","hub"
"220","ai"
"221","artificial"
"222","intelligence"
"223","aix"
"224","interactive"
"225","executive"
"226","ajax"
"227","javascript"
"228","xml"
"229","al"
"230","link"
"231","alac"
"232","lossless"
"233","codec"
"234","algol"
"235","algorithmic"
"236","alsa"
"237","linux"
"238","sound"
"239","architecture"
"240","alu"
"241","arithmetic"
"242","logical"
"243","unit"
"244","am"
"245","method"
"246","matrix"
"247","amoled"
"248","organic"
"249","light"
"250","emitting"
"251","diode"
"252","monitor"
"253","allied"
"254","mastercomputer"
"255","amplitude"
"256","modulation"
"257","amd"
"258","micro"
"259","devices"
"260","amqp"
"261","message"
"262","queuing"
"263","amr"
"264","modem"
"265","riser"
"266","ann"
"267","neural"
"268","network"
"269","ansi"
"270","american"
"271","national"
"272","standards"
"273","institute"
"274","ant"
"275","another"
"276","neat"
"277","tool"
"278","aoe"
"279","ata"
"280","over"
"281","ethernet"
"282","aop"
"283","aspect"
"284","oriented"
"285","apci"
"286","information"
"287","api"
"288","apic"
"289","programmable"
"290","interrupt"
"291","controller"
"292","apipa"
"293","private"
"294","ip"
"295","addressing"
"296","apl"
"297","a"
"298","apr"
"299","apache"
"300","portable"
"301","runtime"
"302","arc"
"303","replacement"
"304","cache"
"305","risc"
"306","arin"
"307","registry"
"308","internet"
"309","numbers"
"310","arm"
"311","machines"
"312","aros"
"313","research"
"314","operating"
"315","system"
"316","arp"
"317","arpa"
"318","routing"
"319","parameter"
"320","projects"
"321","agency"
"322","arpanet"
"323","as"
"324","server"
"325","ascii"
"326","code"
"327","interchange"
"328","authip"
"329","authenticated"
"330","aset"
"331","security"
"332","enhancement"
"333","asg"
"334","semantic"
"335","graph"
"336","asic"
"337","specific"
"338","integrated"
"339","circuit"
"340","asimo"
"341","step"
"342","in"
"343","innovative"
"344","mobility"
"345","aslr"
"346","space"
"347","layout"
"348","randomization"
"349","asm"
"350","state"
"351","machine"
"352","asmp"
"353","multiprocessing"
"354","asn"
"355","syntax"
"356","notation"
"357","asp"
"358","pages"
"359","service"
"360","provider"
"361","asr"
"362","signal"
"363","routine"
"364","ast"
"365","tree"
"366","at"
"367","technology"
"368","time"
"369","terminator"
"370","attachment"
"371","atag"
"372","authoring"
"373","accessibility"
"374","guidelines"
"375","atapi"
"376","packet"
"377","transfer"
"378","av"
"379","antivirus"
"380","avc"
"381","video"
"382","avi"
"383","interleaved"
"384","awk"
"385","aho"
"386","weinberger"
"387","kernighan"
"388","awt"
"389","window"
"390","toolkit"
"391","awfl"
"392","acronym"
"393","with"
"394","four"
"395","letters"
"396","b2b"
"397","business"
"398","b2c"
"399","consumer"
"400","b2e"
"401","employee"
"402","bal"
"403","basic"
"404","assembly"
"405","bam"
"406","block"
"407","availability"
"408","map"
"409","bash"
"410","bourne"
"411","again"
"412","shell"
"413","beginner's"
"414","all"
"415","purpose"
"416","symbolic"
"417","instruction"
"418","bbp"
"419","baseband"
"420","bbs"
"421","bulletin"
"422","board"
"423","bc"
"424","continuity"
"425","bcd"
"426","coded"
"427","decimal"
"428","boot"
"429","bcnf"
"430","boyce"
"431","codd"
"432","beep"
"433","blocks"
"434","extensible"
"435","exchange"
"436","ber"
"437","bit"
"438","error"
"439","bfd"
"440","bidirectional"
"441","forwarding"
"442","file"
"443","descriptor"
"444","bfs"
"445","breadth"
"446","search"
"447","bft"
"448","byzantine"
"449","fault"
"450","tolerant"
"451","bgp"
"452","gateway"
"453","bi"
"454","bidi"
"455","directional"
"456","bin"
"457","binac"
"458","computer"
"459","bind"
"460","berkeley"
"461","name"
"462","bios"
"463","input"
"464","output"
"465","bjt"
"466","bipolar"
"467","junction"
"468","transistor"
"469","digit"
"470","blob"
"471","large"
"472","object"
"473","blog"
"474","web"
"475","log"
"476","bmp"
"477","multilingual"
"478","plane"
"479","bnc"
"480","bayonet"
"481","neill"
"482","concelman"
"483","boinc"
"484","open"
"485","infrastructure"
"486","bom"
"487","order"
"488","mark"
"489","bootp"
"490","bootstrap"
"491","bpdu"
"492","bridge"
"493","bpel"
"494","process"
"495","execution"
"496","bpl"
"497","broadband"
"498","lines"
"499","bpm"
"500","management"
"501","modeling"
"502","bps"
"503","bits"
"504","per"
"505","brm"
"506","reference"
"507","model"
"508","brms"
"509","rule"
"510","brr"
"511","readiness"
"512","rating"
"513","brs"
"514","radio"
"515","bsa"
"516","software"
"517","alliance"
"518","bsb"
"519","backside"
"520","bsd"
"521","distribution"
"522","bsod"
"523","blue"
"524","screen"
"525","death"
"526","bss"
"527","started"
"528","by"
"529","symbol"
"530","bt"
"531","bittorrent"
"532","bluetooth"
"533","b"
"534","tam"
"535","telecommunications"
"536","bw"
"537","bandwidth"
"538","byod"
"539","bring"
"540","your"
"541","own"
"542","device"
"543","eight"
"544","group"
"545","ca"
"546","accountancy"
"547","cad"
"548","aided"
"549","design"
"550","cae"
"551","engineering"
"552","caid"
"553","industrial"
"554","cai"
"555","cam"
"556","manufacturing"
"557","captcha"
"558","completely"
"559","public"
"560","turing"
"561","test"
"562","tell"
"563","computers"
"564","humans"
"565","apart"
"566","cat"
"567","translation"
"568","caq"
"569","quality"
"570","assurance"
"571","case"
"572","cc"
"573","c"
"574","cd"
"575","compact"
"576","disc"
"577","cde"
"578","common"
"579","cdfs"
"580","disk"
"581","cdma"
"582","division"
"583","multiple"
"584","cdn"
"585","content"
"586","delivery"
"587","cdp"
"588","cisco"
"589","discovery"
"590","continuous"
"591","protection"
"592","r"
"593","recordable"
"594","rom"
"595","read"
"596","only"
"597","memory"
"598","rw"
"599","rewritable"
"600","cdsa"
"601","cert"
"602","emergency"
"603","response"
"604","team"
"605","ces"
"606","electronics"
"607","show"
"608","cf"
"609","flash"
"610","cfd"
"611","computational"
"612","fluid"
"613","dynamics"
"614","cfg"
"615","context"
"616","free"
"617","grammar"
"618","flow"
"619","cg"
"620","cga"
"621","color"
"622","array"
"623","cgi"
"624","generated"
"625","imagery"
"626","cgt"
"627","theory"
"628","chap"
"629","challenge"
"630","handshake"
"631","chs"
"632","cylinder"
"633","head"
"634","sector"
"635","cidr"
"636","classless"
"637","inter"
"638","cifs"
"639","filesystem"
"640","cim"
"641","computationally"
"642","independent"
"643","cio"
"644","chief"
"645","officer"
"646","cir"
"647","committed"
"648","cisc"
"649","complex"
"650","set"
"651","cjk"
"652","chinese"
"653","japanese"
"654","korean"
"655","cjkv"
"656","vietnamese"
"657","cli"
"658","command"
"659","clr"
"660","cm"
"661","cmdb"
"662","database"
"663","cmmi"
"664","capability"
"665","maturity"
"666","integration"
"667","cmos"
"668","complementary"
"669","metal"
"670","oxide"
"671","semiconductor"
"672","cmo"
"673","operation"
"674","cms"
"675","cn"
"676","canonical"
"677","cnc"
"678","numerical"
"679","cng"
"680","cryptographic"
"681","next"
"682","cryptography"
"683","cnr"
"684","networking"
"685","cobol"
"686","com"
"687","component"
"688","or"
"689","communication"
"690","corba"
"691","request"
"692","broker"
"693","cots"
"694","commercial"
"695","off"
"696","the"
"697","shelf"
"698","cpa"
"699","cpan"
"700","comprehensive"
"701","perl"
"702","archive"
"703","cp"
"704","m"
"705","cpri"
"706","cps"
"707","characters"
"708","cpu"
"709","central"
"710","processing"
"711","cr"
"712","carriage"
"713","return"
"714","cran"
"715","crc"
"716","cyclic"
"717","redundancy"
"718","check"
"719","crlf"
"720","feeds"
"721","crm"
"722","customer"
"723","relationship"
"724","crs"
"725","reservations"
"726","crt"
"727","cathode"
"728","ray"
"729","tube"
"730","crud"
"731","create"
"732","update"
"733","delete"
"734","cs"
"735","cable"
"736","select"
"737","science"
"738","cse"
"739","csi"
"740","csm"
"741","compatibility"
"742","support"
"743","module"
"744","csma"
"745","carrier"
"746","sense"
"747","collision"
"748","csp"
"749","cloud"
"750","communicating"
"751","sequential"
"752","processes"
"753","csrf"
"754","cross"
"755","site"
"756","forgery"
"757","css"
"758","cascading"
"759","style"
"760","sheets"
"761","scrambling"
"762","closed"
"763","source"
"764","scripting"
"765","csv"
"766","comma"
"767","separated"
"768","values"
"769","ct"
"770","computerized"
"771","tomography"
"772","ctan"
"773","tex"
"774","ctcp"
"775","client"
"776","cti"
"777","telephony"
"778","ctfe"
"779","compile"
"780","function"
"781","ctl"
"782","logic"
"783","ctm"
"784","close"
"785","cts"
"786","clear"
"787","send"
"788","ctss"
"789","compatible"
"790","sharing"
"791","cua"
"792","user"
"793","versions"
"794","versioning"
"795","cvs"
"796","cx"
"797","experience"
"798","dac"
"799","discretionary"
"800","dal"
"801","abstraction"
"802","dao"
"803","once"
"804","dap"
"805","darpa"
"806","defense"
"807","dat"
"808","tape"
"809","db"
"810","dba"
"811","administrator"
"812","dbcs"
"813","double"
"814","character"
"815","dbms"
"816","dcc"
"817","direct"
"818","dccp"
"819","datagram"
"820","congestion"
"821","dcca"
"822","debian"
"823","core"
"824","dcl"
"825","dcs"
"826","distributed"
"827","dcmi"
"828","dublin"
"829","metadata"
"830","initiative"
"831","dcom"
"832","dd"
"833","density"
"834","dde"
"835","dynamic"
"836","ddi"
"837","dns"
"838","dhcp"
"839","ddl"
"840","definition"
"841","ddos"
"842","denial"
"843","ddr"
"844","dec"
"845","equipment"
"846","corporation"
"847","des"
"848","dev"
"849","development"
"850","dfa"
"851","deterministic"
"852","finite"
"853","automaton"
"854","dfd"
"855","diagram"
"856","dfs"
"857","depth"
"858","dgd"
"859","dworkin's"
"860","game"
"861","driver"
"862","host"
"863","dhtml"
"864","hypertext"
"865","markup"
"866","dif"
"867","integrity"
"868","field"
"869","dimm"
"870","dual"
"871","inline"
"872","din"
"873","deutsches"
"874","institut"
"875","für"
"876","normung"
"877","dip"
"878","package"
"879","dism"
"880","deployment"
"881","image"
"882","divx"
"883","express"
"884","dkim"
"885","keys"
"886","identified"
"887","mail"
"888","dl"
"889","download"
"890","dll"
"891","library"
"892","dlna"
"893","living"
"894","dlp"
"895","loss"
"896","dma"
"897","dmca"
"898","millennium"
"899","copyright"
"900","act"
"901","dmi"
"902","media"
"903","dml"
"904","manipulation"
"905","definitive"
"906","dmr"
"907","dennis"
"908","ritchie"
"909","dmz"
"910","demilitarized"
"911","zone"
"912","dn"
"913","distinguished"
"914","dnd"
"915","drag"
"916","drop"
"917","doa"
"918","dead"
"919","on"
"920","arrival"
"921","docsis"
"922","specification"
"923","dom"
"924","document"
"925","dos"
"926","dp"
"927","dot"
"928","pitch"
"929","dpc"
"930","deferred"
"931","procedure"
"932","dpi"
"933","deep"
"934","inspection"
"935","dots"
"936","inch"
"937","dpmi"
"938","protected"
"939","dpms"
"940","signaling"
"941","dr"
"942","disaster"
"943","recovery"
"944","dram"
"945","random"
"946","dri"
"947","rendering"
"948","drm"
"949","rights"
"950","manager"
"951","dsa"
"952","signature"
"953","algorithm"
"954","dsdl"
"955","schema"
"956","languages"
"957","dsdm"
"958","systems"
"959","dsl"
"960","dslam"
"961","multiplexer"
"962","dsn"
"963","dsp"
"964","dsssl"
"965","semantics"
"966","dtd"
"967","dte"
"968","terminal"
"969","dtp"
"970","publishing"
"971","dtr"
"972","ready"
"973","dvd"
"974","versatile"
"975","dvi"
"976","visual"
"977","dvr"
"978","recorder"
"979","dw"
"980","warehouse"
"981","eai"
"982","enterprise"
"983","eap"
"984","eas"
"985","activesync"
"986","ebcdic"
"987","extended"
"988","ebml"
"989","meta"
"990","ecc"
"991","elliptic"
"992","curve"
"993","ecma"
"994","european"
"995","manufacturers"
"996","ecn"
"997","explicit"
"998","notification"
"999","ecos"
"1000","embedded"
"1001","configurable"
"1002","ecrs"
"1003","expense"
"1004","cost"
"1005","eda"
"1006","electronic"
"1007","automation"
"1008","edge"
"1009","enhanced"
"1010","rates"
"1011","gsm"
"1012","evolution"
"1013","edi"
"1014","edo"
"1015","out"
"1016","edsac"
"1017","delay"
"1018","storage"
"1019","calculator"
"1020","edvac"
"1021","discrete"
"1022","variable"
"1023","eeprom"
"1024","electronically"
"1025","erasable"
"1026","eff"
"1027","frontier"
"1028","foundation"
"1029","efi"
"1030","firmware"
"1031","efm"
"1032","fourteen"
"1033","mile"
"1034","efs"
"1035","encrypting"
"1036","ega"
"1037","e"
"1038","egp"
"1039","exterior"
"1040","eid"
"1041","id"
"1042","card"
"1043","eide"
"1044","ide"
"1045","eigrp"
"1046","interior"
"1047","eisa"
"1048","industry"
"1049","elf"
"1050","extremely"
"1051","low"
"1052","frequency"
"1053","executable"
"1054","linkable"
"1055","format"
"1056","elm"
"1057","emacs"
"1058","editor"
"1059","macros"
"1060","ems"
"1061","expanded"
"1062","eniac"
"1063","integrator"
"1064","eod"
"1065","end"
"1066","day"
"1067","eof"
"1068","eol"
"1069","eom"
"1070","eos"
"1071","epic"
"1072","explicitly"
"1073","parallel"
"1074","eprom"
"1075","erd"
"1076","entity"
"1077","erm"
"1078","erp"
"1079","resource"
"1080","planning"
"1081","esata"
"1082","external"
"1083","sata"
"1084","esb"
"1085","escon"
"1086","esd"
"1087","electrostatic"
"1088","discharge"
"1089","esi"
"1090","stored"
"1091","esr"
"1092","eric"
"1093","steven"
"1094","raymond"
"1095","etl"
"1096","extract"
"1097","transform"
"1098","load"
"1099","etw"
"1100","event"
"1101","tracing"
"1102","windows"
"1103","euc"
"1104","unix"
"1105","eula"
"1106","license"
"1107","agreement"
"1108","ewm"
"1109","work"
"1110","ewmh"
"1111","hints"
"1112","ext"
"1113","eta"
"1114","estimated"
"1115","fap"
"1116","fortran"
"1117","fasm"
"1118","flat"
"1119","assembler"
"1120","fat"
"1121","allocation"
"1122","table"
"1123","faq"
"1124","frequently"
"1125","asked"
"1126","questions"
"1127","fbdimm"
"1128","fully"
"1129","buffered"
"1130","fc"
"1131","fibre"
"1132","channel"
"1133","arbitrated"
"1134","fcb"
"1135","fcs"
"1136","frame"
"1137","sequence"
"1138","fdc"
"1139","floppy"
"1140","fds"
"1141","fedora"
"1142","fdd"
"1143","duplexing"
"1144","drive"
"1145","fddi"
"1146","fdm"
"1147","multiplexing"
"1148","fdma"
"1149","fec"
"1150","forward"
"1151","correction"
"1152","femb"
"1153","front"
"1154","motherboard"
"1155","fet"
"1156","effect"
"1157","fhs"
"1158","hierarchy"
"1159","ficon"
"1160","connectivity"
"1161","fifo"
"1162","fips"
"1163","federal"
"1164","level"
"1165","flac"
"1166","flops"
"1167","floating"
"1168","point"
"1169","operations"
"1170","floss"
"1171","libre"
"1172","fmc"
"1173","fixed"
"1174","mobile"
"1175","convergence"
"1176","uc"
"1177","unified"
"1178","fmo"
"1179","future"
"1180","foldoc"
"1181","dictionary"
"1182","fosdem"
"1183","developers"
"1184","meeting"
"1185","fosi"
"1186","formatted"
"1187","instance"
"1188","foss"
"1189","fpga"
"1190","gate"
"1191","fps"
"1192","fpu"
"1193","fru"
"1194","replaceable"
"1195","fs"
"1196","fsb"
"1197","side"
"1198","fsck"
"1199","fsf"
"1200","fsm"
"1201","ftta"
"1202","antenna"
"1203","fttc"
"1204","curb"
"1205","ftth"
"1206","home"
"1207","fttp"
"1208","premises"
"1209","ftp"
"1210","fqdn"
"1211","qualified"
"1212","fud"
"1213","fear"
"1214","uncertainty"
"1215","doubt"
"1216","fws"
"1217","folding"
"1218","white"
"1219","fxp"
"1220","fyi"
"1221","fvek"
"1222","full"
"1223","volume"
"1224","key"
"1225","g11n"
"1226","globalization"
"1227","gas"
"1228","gnu"
"1229","gb"
"1230","gigabit"
"1231","gigabyte"
"1232","gcc"
"1233","collection"
"1234","gcj"
"1235","java"
"1236","gcr"
"1237","recording"
"1238","gdb"
"1239","debugger"
"1240","gdi"
"1241","gfdl"
"1242","documentation"
"1243","gif"
"1244","gigo"
"1245","garbage"
"1246","gimp"
"1247","gimps"
"1248","great"
"1249","mersenne"
"1250","prime"
"1251","gis"
"1252","geographic"
"1253","glut"
"1254","opengl"
"1255","utility"
"1256","gml"
"1257","geography"
"1258","gnome"
"1259","gnu's"
"1260","not"
"1261","goms"
"1262","goals"
"1263","operators"
"1264","methods"
"1265","selection"
"1266","rules"
"1267","gpasm"
"1268","pic"
"1269","gpfs"
"1270","general"
"1271","gpg"
"1272","privacy"
"1273","guard"
"1274","gpgpu"
"1275","units"
"1276","gpib"
"1277","instrumentation"
"1278","gpl"
"1279","gprs"
"1280","gpt"
"1281","guid"
"1282","partition"
"1283","gpu"
"1284","grub"
"1285","grand"
"1286","loader"
"1287","geran"
"1288","global"
"1289","gtk"
"1290","gui"
"1291","graphical"
"1292","globally"
"1293","unique"
"1294","identifier"
"1295","gwt"
"1296","google"
"1297","gyr"
"1298","it"
"1299","ha"
"1300","high"
"1301","hal"
"1302","hardware"
"1303","hard"
"1304","html"
"1305","rapid"
"1306","hasp"
"1307","houston"
"1308","spooling"
"1309","priority"
"1310","hba"
"1311","adapter"
"1312","hci"
"1313","human"
"1314","interaction"
"1315","hd"
"1316","hdd"
"1317","hcl"
"1318","hdl"
"1319","description"
"1320","hdmi"
"1321","multimedia"
"1322","heci"
"1323","hf"
"1324","hfs"
"1325","hierarchical"
"1326","hhd"
"1327","hybrid"
"1328","hid"
"1329","hig"
"1330","hird"
"1331","hurd"
"1332","interfaces"
"1333","representing"
"1334","hlasm"
"1335","hls"
"1336","http"
"1337","live"
"1338","streaming"
"1339","hma"
"1340","hp"
"1341","hewlett"
"1342","packard"
"1343","hpc"
"1344","performance"
"1345","hpfs"
"1346","hsdpa"
"1347","speed"
"1348","downlink"
"1349","htc"
"1350","throughput"
"1351","hsm"
"1352","ht"
"1353","hyper"
"1354","threading"
"1355","htm"
