"topic","gamma","rank","check_one","check_two","doc_id"
13,0.386519220642443,1,1.36026686434396,4.23547880690738,"ag_sub_010"
2,0.216524216524217,1,1.1111671288127,1.01613729508197,"ag_sub_013"
13,0.262823115441873,1,1.96558704453441,1.03781512605042,"ag_sub_024"
1,0.382294629773295,1,1.43760129659643,2.06769436997319,"ag_sub_027"
13,0.38003742084053,1,1.07709565572099,6.35103626943005,"ag_sub_028"
13,0.296424785583502,1,1.03638814016173,2.8984375,"ag_sub_031"
13,0.423266138708903,1,1.31881484250865,5.33615960099751,"ag_sub_033"
13,0.426341620403894,1,1.27226890756303,8.15068493150685,"ag_sub_036"
13,0.401757689893283,1,2.10229938995777,1.79679595278246,"ag_sub_039"
13,0.461629133320926,1,1.52886788576125,7.32981927710844,"ag_sub_040"
13,0.369847248378322,1,1.29297732260424,3.62599469496021,"ag_sub_041"
13,0.453045586050512,1,1.61843575418994,6.0472972972973,"ag_sub_043"
2,0.262740361845221,1,1.0520576521904,1.11515279687004,"ag_sub_045"
2,0.379188712522046,1,1.24493341053851,5.66229508196721,"ag_sub_048"
13,0.395170585523283,1,1.09799839871898,9.39097744360902,"ag_sub_055"
13,0.454528158295282,1,1.52165605095541,3.88133498145859,"ag_sub_056"
13,0.402532548599964,1,1.67433234421365,5.2046332046332,"ag_sub_058"
13,0.461802339542383,1,1.37003867290861,10.0367722165475,"ag_sub_061"
2,0.280652798917639,1,1.65536159600998,1.48738872403561,"ag_sub_063"
13,0.52430113609579,1,1.68642911296437,11.3121783876501,"ag_sub_065"
13,0.463948542379915,1,1.64593301435407,6.3704572098476,"ag_sub_072"
13,0.447355652595827,1,1.35511588468061,8.79224652087475,"ag_sub_074"
13,0.278739997974273,1,1.25949656750572,2.29516806722689,"ag_sub_076"
2,0.337576772752652,1,1.60797872340426,1.85862580326248,"ag_sub_081"
13,0.349823536570525,1,1.04242973708069,3.76450511945393,"ag_sub_082"
12,0.618732567944477,1,4.51229895931883,1.90364700585322,"ag_sub_083"
18,0.52415895102708,1,2.34183155591294,2.89074765642863,"ag_sub_085"
13,0.425966009299343,1,1.26181429589171,7.74793008279669,"ag_sub_088"
13,0.426004460779694,1,1.2114525638735,6.32072275550536,"ag_sub_090"
4,0.579435477356082,1,3.82131060202451,1.90018222312209,"ag_sub_091"
13,0.510703929915479,1,2.32397529477821,4.45807259073842,"ag_sub_094"
13,0.365015618027666,1,1.80374862183021,1.16133162612036,"ag_sub_106"
2,0.204410943606923,1,1.07392197125257,1.02711660138596,"ag_sub_114"
3,0.486566658191372,1,1.64239736804463,4.07163657542225,"da_sub_012"
3,0.544476428068829,1,1.95664567146338,5.36135075178704,"da_sub_020"
7,0.30718954248366,1,1.13595166163142,1.1834107972828,"da_sub_035"
3,0.456391875746714,1,1.46871723173715,5.84473953013279,"da_sub_037"
7,0.342392309114439,1,1.11970979443773,4.01456310679612,"da_sub_038"
7,0.343044844330191,1,1.11255210745716,3.43243243243243,"da_sub_043"
7,0.540518271330285,1,2.12263387801327,1.99773755656109,"da_sub_046"
2,0.342137700299348,1,2.1721632196758,1.49707112970711,"da_sub_065"
3,0.473737490229244,1,1.28096739544714,6.40359440869758,"da_sub_080"
3,0.638860553855454,1,2.11971168912567,24.3587786259542,"da_sub_094"
17,0.545051012108113,1,1.80915647780306,3.00777262180975,"da_sub_111"
7,0.402580468052982,1,1.0706333272495,7.26657824933687,"da_sub_113"
2,0.240258030542391,1,1.00996126175982,1.27253521126761,"da_sub_115"
2,0.332318619989853,1,1.07377049180328,1.74785100286533,"da_sub_120"
2,0.337795048934945,1,1.33884768967484,1.77429149797571,"da_sub_131"
15,0.716486828035384,1,9.78493196150017,1.77339611536198,"da_sub_144"
1,0.635496480864089,1,2.37535753976206,5.03707442415344,"da_sub_146"
2,0.343858246735945,1,1.42125550660793,1.43330702446725,"da_sub_147"
2,0.377137434369235,1,1.09148078749455,1.86522717479772,"da_sub_161"
16,0.372064609144002,1,1.38581960498771,1.10101212546347,"da_sub_188"
2,0.46834985543164,1,1.09625959272464,7.60523897058824,"da_sub_189"
2,0.34603776233593,1,1.47340107591154,1.01363223265677,"da_sub_196"
3,0.324101975414933,1,1.0053412462908,1.42539917521413,"da_sub_202"
4,0.757466844979383,1,8.51456310679612,1.02602827763496,"da_sub_dr_215"
2,0.276616337591947,1,1.73002421307506,1.67545638945233,"da_sub_dr_249"
3,0.429800353049402,1,1.34529182879377,2.2178115291681,"da_sub_dr_323"
6,0.72895331006157,1,4.90979394820159,4.45273861798012,"dd_sub_011"
8,0.370012277470841,1,2.42677403120282,1.33176943699732,"de_sub_002"
5,0.502171717171717,1,1.70548885077187,8.01925722145805,"de_sub_004"
5,0.605832377342178,1,2.91535322825826,3.36446837146703,"de_sub_005"
11,0.454278363855018,1,1.93816977333247,1.24530896150113,"de_sub_007"
5,0.479847718050426,1,1.50813212008311,7.35740643120717,"de_sub_008"
5,0.555192249470179,1,2.7256242568371,2.47899778924097,"de_sub_009"
5,0.471122166943062,1,1.69415179103884,4.25528675351041,"de_sub_020"
6,0.261222831606744,1,1.01060903732809,1.28665318503539,"de_sub_021"
10,0.637912457912458,1,3.68083618277899,2.86082703423744,"de_sub_025"
2,0.370013188262446,1,1.07546717776713,1.91029748283753,"de_sub_027"
5,0.402128094945775,1,1.6300597213006,1.78237729154347,"de_sub_030"
10,0.331241164828951,1,1.59379676234526,1.00245465702986,"de_sub_035"
11,0.312912912912913,1,1.65923566878981,1.55831265508685,"de_sub_036"
14,0.758237357417074,1,3.86669014084507,18.3937823834197,"de_sub_044"
5,0.306409550045914,1,1.03633766072427,2.25349944008959,"de_sub_046"
5,0.317376333249349,1,1.29042171760287,1.09415281150757,"de_sub_049"
5,0.425231269696046,1,2.05856299212598,2.51485148514851,"de_sub_050"
5,0.349286138164555,1,1.25372760305726,2.05378281008749,"de_sub_051"
2,0.352126709269566,1,1.147062115277,2.8464479133482,"de_sub_053"
2,0.255876440114436,1,1.03811465767391,1.92817178285196,"de_sub_062"
5,0.375185109242932,1,1.40129339686862,1.38356486931952,"de_sub_066"
5,0.419635640116894,1,1.36868789292233,4.06177924217463,"de_sub_068"
5,0.439066951566952,1,1.68521049753964,1.47425692695214,"de_sub_071"
9,0.481334436173146,1,1.99201277955272,2.08171021377672,"de_sub_072"
5,0.675016056518947,1,3.87976268951879,2.51742449385994,"de_sub_076"
5,0.310220895192281,1,1.00808552690684,1.20452331998701,"de_sub_080"
11,0.377818035426731,1,1.47958379315781,1.43604256282545,"de_sub_085"
5,0.325230426415477,1,1.36812952705582,2.04086956521739,"de_sub_088"
14,0.736619260990973,1,3.74709302325581,8.95621301775148,"de_sub_089"
5,0.492913304365818,1,2.03698161607525,4.00513698630137,"de_sub_093"
16,0.454794924213124,1,1.80419376050267,1.27392032762472,"de_sub_095"
5,0.680588389808248,1,3.42436621410549,4.42948376796168,"de_sub_096"
9,0.37101058395652,1,1.36362270952238,1.20137134608445,"de_sub_098"
2,0.31222735437516,1,1.09740698985344,3.62929623567921,"de_sub_101"
5,0.263130113486408,1,1.481426448737,1.50223214285714,"de_sub_102"
5,0.383004096023228,1,1.55221685227989,1.40715552927262,"de_sub_105"
5,0.393334631360332,1,1.60755968169761,1.10557184750733,"de_sub_106"
5,0.3230870464373,1,1.17544459644323,2.16753150481838,"de_sub_107"
5,0.364929147263532,1,1.45440031929755,2.01893634165995,"de_sub_108"
2,0.345060731167355,1,1.9140391636243,1.14345351043643,"de_sub_110"
5,0.47498847395113,1,1.47047279214987,5.94379639448568,"de_sub_113"
5,0.337101636520241,1,1.1485693323551,1.504,"de_sub_116"
2,0.344733461785485,1,1.49700181285734,1.42848605577689,"de_sub_121"
5,0.514456146359563,1,1.74339878131347,4.18075212292762,"de_sub_125"
15,0.448337601232486,1,2.50873718546132,1.26365376122479,"de_sub_128"
5,0.332572989161216,1,1.36713019072527,1.73773762678047,"de_sub_129"
11,0.235646427096241,1,1.46094750320102,1.14516129032258,"de_sub_131"
5,0.276992540243424,1,1.57126948775056,1.23521320495186,"de_sub_134"
5,0.251666300446788,1,1.11703511053316,2.15255423372988,"de_sub_137"
5,0.268880980624753,1,1.13864701942398,1.79555021046302,"de_sub_142"
12,0.583968253968254,1,3.5927734375,3.09365558912387,"nbn_sub_002"
12,0.544676135791276,1,2.86387711864407,3.5092936802974,"nbn_sub_009"
12,0.431635802469136,1,2.43217391304348,1.25545851528384,"nbn_sub_013"
12,0.653688141923436,1,4.10736286300968,5.35164835164835,"nbn_sub_015"
12,0.573677410580715,1,2.52061547654616,4.02525556223692,"nbn_sub_020"
5,0.506440764007869,1,2.32885906040268,1.50043782837128,"ts_sub_003"
5,0.277143581938102,1,1.03407477520114,1.04448838358873,"ts_sub_007"
8,0.357418322054864,1,1.36520289049472,1.03898354028299,"ts_sub_008"
